
=== Eastern Mediterranean (5295 records) ===
TrackNumber  Vessel_Name                    IMO        Flag  Location                  Country             
MCB0321223   CMA CGM PELLEAS                9365788    MT    Iskenderun                Turkey              
MCB0321223   CMA CGM PELLEAS                9365788    MT    Port Said                 Egypt               
MCB0321229   CMA CGM PELLEAS                9365788    MT    Iskenderun                Turkey              
MCB0321229   CMA CGM PELLEAS                9365788    MT    Port Said                 Egypt               
MCB0322445   CMA CGM PELLEAS                9365788    MT    Iskenderun                Turkey              
MCB0322445   CMA CGM PELLEAS                9365788    MT    Port Said                 Egypt               
MCB0308143   CMA CGM PLATINUM               9996707    MT    Alexandria                Egypt               
MCB0308143   CMA CGM PLATINUM               9996707    MT    Iskenderun                Turkey              
MCB0308149   CMA CGM PLATINUM               9996707    MT    Alexandria                Egypt               
MCB0308149   CMA CGM PLATINUM               9996707    MT    Iskenderun                Turkey              
SEL1913515   CMA CGM POINTE DU PITON        9975234    MT    Beirut                    Lebanon             
SEL1913515   CMA CGM POINTE DU PITON        9975234    MT    Mersin                    Turkey              
CFA0839245   CMA CGM RODOLPHE               9729075    MT    Port Said                 Egypt               
CFA0840414   CMA CGM RODOLPHE               9729075    MT    Port Said                 Egypt               
CFA0840948   CMA CGM RODOLPHE               9729075    MT    Alexandria                Egypt               
CFA0840948   CMA CGM RODOLPHE               9729075    MT    El Dekheila               Egypt               
MCB0292310   CMA CGM SAHARA                 9220861    MA    Beirut                    Lebanon             
MCB0293821   CMA CGM SAHARA                 9220861    MA    Beirut                    Lebanon             
SEL1904149   CMA CGM SAHARA                 9220861    MA    Beirut                    Lebanon             
SEL1904155   CMA CGM SAHARA                 9220861    MA    Beirut                    Lebanon             
MCB0285270   CMA CGM SALAMANQUE             9961348    MT    Beirut                    Lebanon             
SGN2722307   CMA CGM SARTENE                None       None  Alexandria                Egypt               
CFA0838510   CMA CGM TIGA                   9938418    MT    Port Said                 Egypt               
CFA0838512   CMA CGM TIGA                   9938418    MT    Port Said                 Egypt               
CFA0839245   CMA CGM TIGA                   9938418    MT    Port Said                 Egypt               
CFA0840414   CMA CGM TIGA                   9938418    MT    Port Said                 Egypt               
CFA0840455   CMA CGM TIGA                   9938418    MT    Port Said                 Egypt               
CFA0840948   CMA CGM TIGA                   9938418    MT    Alexandria                Egypt               
CFA0840948   CMA CGM TIGA                   9938418    MT    El Dekheila               Egypt               
CFA0840986   CMA CGM TIGA                   9938418    MT    Alexandria                Egypt               
CFA0840986   CMA CGM TIGA                   9938418    MT    El Dekheila               Egypt               
NAM8098347   CMA CGM TIGA                   9938418    MT    Iskenderun                Turkey              
NAM8103542   CMA CGM TIGA                   9938418    MT    Iskenderun                Turkey              
MCB0315282   CMA CGM TITUS                  9450636    MT    Alexandria                Egypt               
MCB0315282   CMA CGM TITUS                  9450636    MT    Iskenderun                Turkey              
ANT1930964   CMA CGM TOKYO                  9629380    MT    Mersin                    Turkey              
CFA0857300   CMA CGM TOKYO                  9629380    MT    Port Said                 Egypt               
LGS0203394   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
MCB0319275   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
MCB0319275   CMA CGM TOKYO                  9629380    MT    Port Said                 Egypt               
MCB0321167   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
MCB0321167   CMA CGM TOKYO                  9629380    MT    Port Said                 Egypt               
MCB0321177   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
MCB0321177   CMA CGM TOKYO                  9629380    MT    Port Said                 Egypt               
MCB0321205   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
MCB0321205   CMA CGM TOKYO                  9629380    MT    Port Said                 Egypt               
MCB0321209   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
MCB0321209   CMA CGM TOKYO                  9629380    MT    Port Said                 Egypt               
MCB0321211   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
MCB0321211   CMA CGM TOKYO                  9629380    MT    Port Said                 Egypt               
MCB0321214   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
MCB0321214   CMA CGM TOKYO                  9629380    MT    Port Said                 Egypt               
MCB0321223   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
MCB0321223   CMA CGM TOKYO                  9629380    MT    Port Said                 Egypt               
MCB0321229   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
MCB0321229   CMA CGM TOKYO                  9629380    MT    Port Said                 Egypt               
MCB0322445   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
MCB0322445   CMA CGM TOKYO                  9629380    MT    Port Said                 Egypt               
NAM7643778   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
NAM8029895   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
NAM8033191   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
NAM8103542   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
NAM8209101   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
NAM8209460   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
NAM8223881   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
NAM8283906   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
NAM8283907   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
SEL1864509   CMA CGM TOKYO                  9629380    MT    Alexandria                Egypt               
SEL1864509   CMA CGM TOKYO                  9629380    MT    Iskenderun                Turkey              
MCB0323854   CMA CGM URAL                   9705079    MT    Iskenderun                Turkey              
MCB0323854   CMA CGM URAL                   9705079    MT    Port Said                 Egypt               
MCB0324021   CMA CGM URAL                   9705079    MT    Iskenderun                Turkey              
MCB0324021   CMA CGM URAL                   9705079    MT    Port Said                 Egypt               
SEL1879549   CMA CGM URAL                   9705079    MT    Iskenderun                Turkey              
SEL1879549   CMA CGM URAL                   9705079    MT    Mersin                    Turkey              
SEL1879549   CMA CGM URAL                   9705079    MT    Tripoli                   Lebanon             
SEL1879620   CMA CGM URAL                   9705079    MT    Iskenderun                Turkey              
SEL1879620   CMA CGM URAL                   9705079    MT    Tripoli                   Lebanon             
MCB0321133   CMA CGM VITORIA                9434905    IN    Iskenderun                Turkey              
MCB0321133   CMA CGM VITORIA                9434905    IN    Port Said                 Egypt               
MCB0321167   CMA CGM VITORIA                9434905    IN    Iskenderun                Turkey              
MCB0321167   CMA CGM VITORIA                9434905    IN    Port Said                 Egypt               
MCB0321177   CMA CGM VITORIA                9434905    IN    Iskenderun                Turkey              
MCB0321177   CMA CGM VITORIA                9434905    IN    Port Said                 Egypt               
MCB0321205   CMA CGM VITORIA                9434905    IN    Iskenderun                Turkey              
MCB0321205   CMA CGM VITORIA                9434905    IN    Port Said                 Egypt               
MCB0321209   CMA CGM VITORIA                9434905    IN    Iskenderun                Turkey              
MCB0321209   CMA CGM VITORIA                9434905    IN    Port Said                 Egypt               
MCB0321211   CMA CGM VITORIA                9434905    IN    Iskenderun                Turkey              
MCB0321211   CMA CGM VITORIA                9434905    IN    Port Said                 Egypt               
MCB0321214   CMA CGM VITORIA                9434905    IN    Iskenderun                Turkey              
MCB0321214   CMA CGM VITORIA                9434905    IN    Port Said                 Egypt               
MCB0321218   CMA CGM VITORIA                9434905    IN    Iskenderun                Turkey              
MCB0321218   CMA CGM VITORIA                9434905    IN    Port Said                 Egypt               
MCB0321223   CMA CGM VITORIA                9434905    IN    Iskenderun                Turkey              
MCB0321223   CMA CGM VITORIA                9434905    IN    Port Said                 Egypt               
MCB0321229   CMA CGM VITORIA                9434905    IN    Iskenderun                Turkey              
MCB0321229   CMA CGM VITORIA                9434905    IN    Port Said                 Egypt               
MCB0322445   CMA CGM VITORIA                9434905    IN    Iskenderun                Turkey              
MCB0322445   CMA CGM VITORIA                9434905    IN    Port Said                 Egypt               
CFA0838503   CMA CGM YUKON                  9732606    MT    Port Said                 Egypt               
CFA0838514   CMA CGM YUKON                  9732606    MT    Port Said                 Egypt               
CFA0845899   CMA CGM YUKON                  9732606    MT    Port Said                 Egypt               
MCB0276814   CMA CGM ZANZIBAR               9367827    MT    Iskenderun                Turkey              
SGN2722307   CMA CGM ZEPHYR                 9882487    MT    Alexandria                Egypt               
SGN2722307   CONTSHIP GIN                   9517434    LR    Alexandria                Egypt               
SEL1864043   COSCO SHIPPING HIMALAYAS       9757840    HK    Mersin                    Turkey              
SEL1864110   CSCL STAR                      9466867    HK    Mersin                    Turkey              
SEL1903887   ESPERANCE                      9491484    NL    Beirut                    Lebanon             
SEL1903887   ESPERANCE                      9491484    NL    Mersin                    Turkey              
NAM8098347   EVER EXCEL                     9241322    GB    Iskenderun                Turkey              
SEL1876412A  EVER GOODS                     9810991    PA    Beirut                    Lebanon             
SEL1876412A  EVER GOODS                     9810991    PA    Mersin                    Turkey              
SEL1876412B  EVER GOODS                     9810991    PA    Beirut                    Lebanon             
SEL1876412B  EVER GOODS                     9810991    PA    Mersin                    Turkey              
SEL1864074   EVER GRADE                     9820855    PA    Mersin                    Turkey              
SEL1875303   EVER LUCENT                    9629067    SG    Mersin                    Turkey              
NAM7643778   EVER SMILE                     9300415    GB    Iskenderun                Turkey              
MCB0323854   GREGOS                         9955533    MH    Iskenderun                Turkey              
MCB0323854   GREGOS                         9955533    MH    Port Said                 Egypt               
MCB0324021   GREGOS                         9955533    MH    Iskenderun                Turkey              
MCB0324021   GREGOS                         9955533    MH    Port Said                 Egypt               
MCB0286738   GROTON                         9246310    LR    Mersin                    Turkey              
MCB0292016   GROTON                         9246310    LR    Mersin                    Turkey              
ANT1885745   GSL CHATEAU DIF                9335202    MT    Mersin                    Turkey              
CFA0845899   GSL CHATEAU DIF                9335202    MT    Port Said                 Egypt               
MCB0276814   GSL CHATEAU DIF                9335202    MT    Iskenderun                Turkey              
MCB0286097   GSL CHATEAU DIF                9335202    MT    Mersin                    Turkey              
MCB0323854   GSL CHATEAU DIF                9335202    MT    Iskenderun                Turkey              
MCB0323854   GSL CHATEAU DIF                9335202    MT    Port Said                 Egypt               
MCB0324021   GSL CHATEAU DIF                9335202    MT    Iskenderun                Turkey              
MCB0324021   GSL CHATEAU DIF                9335202    MT    Port Said                 Egypt               
NAM7951802   GSL CHATEAU DIF                9335202    MT    Iskenderun                Turkey              
NAM7951881   GSL CHATEAU DIF                9335202    MT    Mersin                    Turkey              
NAM7951969   GSL CHATEAU DIF                9335202    MT    Iskenderun                Turkey              
NAM8165703   GSL CHATEAU DIF                9335202    MT    Iskenderun                Turkey              
SEL1865444   GSL CHATEAU DIF                9335202    MT    Mersin                    Turkey              
SEL1885599   HE LE                          9412866    PA    Iskenderun                Turkey              
